departure_date,booking_date,cum_bookings
5/11/2012,3/18/2012,0
5/11/2012,3/19/2012,0
5/11/2012,3/20/2012,0
5/11/2012,3/21/2012,0
5/11/2012,3/22/2012,0
5/11/2012,3/23/2012,0
5/11/2012,3/24/2012,0
5/11/2012,3/25/2012,0
5/11/2012,3/26/2012,0
5/11/2012,3/27/2012,0
5/11/2012,3/28/2012,1
5/11/2012,3/29/2012,1
5/11/2012,3/30/2012,3
5/11/2012,3/31/2012,3
5/11/2012,4/1/2012,3
5/11/2012,4/2/2012,3
5/11/2012,4/3/2012,3
5/11/2012,4/4/2012,5
5/11/2012,4/5/2012,5
5/11/2012,4/6/2012,5
5/11/2012,4/7/2012,5
5/11/2012,4/8/2012,5
5/11/2012,4/9/2012,5
5/11/2012,4/10/2012,5
5/11/2012,4/11/2012,5
5/11/2012,4/12/2012,6
5/11/2012,4/13/2012,6
5/11/2012,4/14/2012,7
5/11/2012,4/15/2012,7
5/11/2012,4/16/2012,11
5/11/2012,4/17/2012,17
5/11/2012,4/18/2012,17
5/11/2012,4/19/2012,19
5/11/2012,4/20/2012,22
5/11/2012,4/21/2012,22
5/11/2012,4/22/2012,23
5/11/2012,4/23/2012,26
5/11/2012,4/24/2012,26
5/11/2012,4/25/2012,26
5/11/2012,4/26/2012,29
5/11/2012,4/27/2012,30
5/11/2012,4/28/2012,30
5/11/2012,4/29/2012,30
5/11/2012,4/30/2012,39
5/11/2012,5/1/2012,41
5/11/2012,5/2/2012,59
5/11/2012,5/3/2012,75
5/11/2012,5/4/2012,76
5/11/2012,5/5/2012,78
5/11/2012,5/6/2012,81
5/11/2012,5/7/2012,87
5/11/2012,5/8/2012,93
5/11/2012,5/9/2012,96
5/11/2012,5/10/2012,113
5/11/2012,5/11/2012,142
5/12/2012,3/13/2012,0
5/12/2012,3/14/2012,0
5/12/2012,3/15/2012,0
5/12/2012,3/16/2012,0
5/12/2012,3/17/2012,0
5/12/2012,3/18/2012,0
5/12/2012,3/19/2012,0
5/12/2012,3/20/2012,0
5/12/2012,3/21/2012,0
5/12/2012,3/22/2012,0
5/12/2012,3/23/2012,0
5/12/2012,3/24/2012,0
5/12/2012,3/25/2012,0
5/12/2012,3/26/2012,0
5/12/2012,3/27/2012,0
5/12/2012,3/28/2012,1
5/12/2012,3/29/2012,1
5/12/2012,3/30/2012,3
5/12/2012,3/31/2012,3
5/12/2012,4/1/2012,3
5/12/2012,4/2/2012,3
5/12/2012,4/3/2012,3
5/12/2012,4/4/2012,3
5/12/2012,4/5/2012,3
5/12/2012,4/6/2012,3
5/12/2012,4/7/2012,3
5/12/2012,4/8/2012,3
5/12/2012,4/9/2012,3
5/12/2012,4/10/2012,3
5/12/2012,4/11/2012,5
5/12/2012,4/12/2012,6
5/12/2012,4/13/2012,6
5/12/2012,4/14/2012,8
5/12/2012,4/15/2012,8
5/12/2012,4/16/2012,12
5/12/2012,4/17/2012,22
5/12/2012,4/18/2012,22
5/12/2012,4/19/2012,24
5/12/2012,4/20/2012,30
5/12/2012,4/21/2012,30
5/12/2012,4/22/2012,35
5/12/2012,4/23/2012,38
5/12/2012,4/24/2012,38
5/12/2012,4/25/2012,38
5/12/2012,4/26/2012,38
5/12/2012,4/27/2012,40
5/12/2012,4/28/2012,40
5/12/2012,4/29/2012,40
5/12/2012,4/30/2012,54
5/12/2012,5/1/2012,62
5/12/2012,5/2/2012,66
5/12/2012,5/3/2012,71
5/12/2012,5/4/2012,76
5/12/2012,5/5/2012,78
5/12/2012,5/6/2012,83
5/12/2012,5/7/2012,87
5/12/2012,5/8/2012,98
5/12/2012,5/9/2012,105
5/12/2012,5/10/2012,124
5/12/2012,5/11/2012,150
5/12/2012,5/12/2012,171
5/13/2012,3/14/2012,1
5/13/2012,3/15/2012,1
5/13/2012,3/16/2012,1
5/13/2012,3/17/2012,1
5/13/2012,3/18/2012,1
5/13/2012,3/19/2012,1
5/13/2012,3/20/2012,1
5/13/2012,3/21/2012,1
5/13/2012,3/22/2012,1
5/13/2012,3/23/2012,3
5/13/2012,3/24/2012,3
5/13/2012,3/25/2012,3
5/13/2012,3/26/2012,3
5/13/2012,3/27/2012,4
5/13/2012,3/28/2012,4
5/13/2012,3/29/2012,4
5/13/2012,3/30/2012,6
5/13/2012,3/31/2012,6
5/13/2012,4/1/2012,6
5/13/2012,4/2/2012,7
5/13/2012,4/3/2012,7
5/13/2012,4/4/2012,7
5/13/2012,4/5/2012,7
5/13/2012,4/6/2012,7
5/13/2012,4/7/2012,7
5/13/2012,4/8/2012,7
5/13/2012,4/9/2012,14
5/13/2012,4/10/2012,14
5/13/2012,4/11/2012,15
5/13/2012,4/12/2012,16
5/13/2012,4/13/2012,16
5/13/2012,4/14/2012,17
5/13/2012,4/15/2012,17
5/13/2012,4/16/2012,21
5/13/2012,4/17/2012,29
5/13/2012,4/18/2012,38
5/13/2012,4/19/2012,42
5/13/2012,4/20/2012,43
5/13/2012,4/21/2012,43
5/13/2012,4/22/2012,45
5/13/2012,4/23/2012,49
5/13/2012,4/24/2012,51
5/13/2012,4/25/2012,57
5/13/2012,4/26/2012,58
5/13/2012,4/27/2012,59
5/13/2012,4/28/2012,59
5/13/2012,4/29/2012,59
5/13/2012,4/30/2012,70
5/13/2012,5/1/2012,84
5/13/2012,5/2/2012,92
5/13/2012,5/3/2012,97
5/13/2012,5/4/2012,101
5/13/2012,5/5/2012,103
5/13/2012,5/6/2012,105
5/13/2012,5/7/2012,105
5/13/2012,5/8/2012,114
5/13/2012,5/9/2012,123
5/13/2012,5/10/2012,145
5/13/2012,5/11/2012,157
5/13/2012,5/12/2012,162
5/13/2012,5/13/2012,185
5/14/2012,3/15/2012,0
5/14/2012,3/16/2012,0
5/14/2012,3/17/2012,0
5/14/2012,3/18/2012,0
5/14/2012,3/19/2012,0
5/14/2012,3/20/2012,0
5/14/2012,3/21/2012,0
5/14/2012,3/22/2012,0
5/14/2012,3/23/2012,6
5/14/2012,3/24/2012,6
5/14/2012,3/25/2012,6
5/14/2012,3/26/2012,7
5/14/2012,3/27/2012,10
5/14/2012,3/28/2012,16
5/14/2012,3/29/2012,18
5/14/2012,3/30/2012,20
5/14/2012,3/31/2012,20
5/14/2012,4/1/2012,20
5/14/2012,4/2/2012,21
5/14/2012,4/3/2012,21
5/14/2012,4/4/2012,21
5/14/2012,4/5/2012,21
5/14/2012,4/6/2012,24
5/14/2012,4/7/2012,24
5/14/2012,4/8/2012,24
5/14/2012,4/9/2012,44
5/14/2012,4/10/2012,46
5/14/2012,4/11/2012,47
5/14/2012,4/12/2012,52
5/14/2012,4/13/2012,52
5/14/2012,4/14/2012,52
5/14/2012,4/15/2012,52
5/14/2012,4/16/2012,56
5/14/2012,4/17/2012,64
5/14/2012,4/18/2012,77
5/14/2012,4/19/2012,88
5/14/2012,4/20/2012,88
5/14/2012,4/21/2012,88
5/14/2012,4/22/2012,91
5/14/2012,4/23/2012,98
5/14/2012,4/24/2012,105
5/14/2012,4/25/2012,113
5/14/2012,4/26/2012,121
5/14/2012,4/27/2012,126
5/14/2012,4/28/2012,126
5/14/2012,4/29/2012,126
5/14/2012,4/30/2012,144
5/14/2012,5/1/2012,162
5/14/2012,5/2/2012,179
5/14/2012,5/3/2012,189
5/14/2012,5/4/2012,196
5/14/2012,5/5/2012,199
5/14/2012,5/6/2012,202
5/14/2012,5/7/2012,230
5/14/2012,5/8/2012,251
5/14/2012,5/9/2012,292
5/14/2012,5/10/2012,325
5/14/2012,5/11/2012,363
5/14/2012,5/12/2012,368
5/14/2012,5/13/2012,378
5/14/2012,5/14/2012,424
5/15/2012,3/16/2012,0
5/15/2012,3/17/2012,0
5/15/2012,3/18/2012,0
5/15/2012,3/19/2012,0
5/15/2012,3/20/2012,0
5/15/2012,3/21/2012,0
5/15/2012,3/22/2012,0
5/15/2012,3/23/2012,6
5/15/2012,3/24/2012,6
5/15/2012,3/25/2012,6
5/15/2012,3/26/2012,7
5/15/2012,3/27/2012,10
5/15/2012,3/28/2012,16
5/15/2012,3/29/2012,18
5/15/2012,3/30/2012,26
